"","siteID","all.site.glob.avg","all.site.glob.sd","all.site.glob.ste","phys.site.glob.avg","phys.site.glob.sd","phys.site.glob.ste","chem.site.glob.avg","chem.site.glob.sd","chem.site.glob.ste","all.site.loc.avg","all.site.loc.sd","all.site.loc.ste","phys.site.loc.avg","phys.site.loc.sd","phys.site.loc.ste","chem.site.loc.avg","chem.site.loc.sd","chem.site.loc.ste","AI.avg","type","n"
"1","ABBY",0.248943262753814,0.126853031688074,0.00792831448050464,0.267704135363824,0.13655703174416,0.00853481448400999,0.176256330997638,0.134740612641041,0.00842128829006507,0.629317705754096,0.135873680172983,0.00849210501081143,0.534911680416036,0.160936102473989,0.0100585064046243,0.580015676517775,0.154425879912222,0.00965161749451388,2.26813333333333,"humid",16
"2","BARR",0.386705759718244,0.13626966015962,0.0064890314361724,0.242321184203548,0.162820331529996,0.00775334912047601,0.365987031566187,0.140772934722551,0.00670347308202625,0.558352290516008,0.152356029593022,0.00725504902823912,0.399095251697451,0.257275973742973,0.0122512368449035,0.522464508791499,0.151897503952926,0.00723321447394886,0.48945,"semi-arid",21
"3","BART",0.343482513748688,0.159135563845559,0.00994597274034746,0.260982309074104,0.159644991191164,0.00997781194944777,0.28867762053462,0.173003094717759,0.0108126934198599,0.533149330851401,0.194292716581727,0.0121432947863579,0.365561176793,0.19621938844287,0.0122637117776794,0.502671658032194,0.214112320735304,0.0133820200459565,1.34273333333333,"humid",16
"4","BLAN",0.23957385125993,0.135387141227042,0.00846169632669014,0.266059544154881,0.141037708775899,0.00881485679849366,0.158038454814695,0.15241681834863,0.00952605114678937,0.613181028669984,0.140572803332047,0.00878580020825292,0.405669832891794,0.193183994016727,0.0120739996260455,0.665236603589202,0.136967514263008,0.00856046964143797,0.7768,"humid",16
"5","BONA",0.315215237420032,0.110855957408924,0.00652093867111316,0.269909592629735,0.118650073899472,0.00697941611173365,0.251987408974026,0.115104112974325,0.0067708301749603,0.629685882732702,0.129573209646983,0.00762195350864606,0.622560095428652,0.182807867970867,0.0107534039982863,0.59148992753788,0.148489594153991,0.00873468200905829,0.5083125,"dry subhumid",17
"6","CLBJ",0.261039416534244,0.170312469522983,0.0141927057935819,0.26804067684991,0.172844517444575,0.0144037097870479,0.191568980583575,0.177167908212459,0.0147639923510382,0.422189960397972,0.244734305472737,0.0203945254560614,0.408490322888977,0.268239150597816,0.022353262549818,0.413856297427943,0.243349003218338,0.0202790836015282,0.466272727272727,"semi-arid",12
"7","CPER",0.253751874730444,0.142430460331163,0.00791280335173128,0.253207926802598,0.150634763936542,0.00836859799647457,0.185333824970481,0.152673701541683,0.00848187230787126,0.43564629746758,0.178686977778737,0.00992705432104095,0.365080560385512,0.19591597864394,0.0108842210357745,0.410597278623382,0.17198776247454,0.00955487569303002,0.214705882352941,"semi-arid",18
"8","DCFS",0.242525394323647,0.134362685373511,0.00895751235823409,0.244764102937099,0.140889009024155,0.00939260060161036,0.179626956394149,0.142973939387761,0.00953159595918405,0.495908038018902,0.199240570364351,0.0132827046909568,0.353134242554949,0.287434493014723,0.0191622995343149,0.598177455579907,0.143728103515575,0.00958187356770498,0.383285714285714,"semi-arid",15
"9","DEJU",0.384497620472633,0.143587484799802,0.00755723604209483,0.40999084280293,0.144148629731199,0.00758676998585256,0.315478904948631,0.16209215771987,0.00853116619578263,0.549593173414226,0.1601285107298,0.0084278163542,0.676573340129587,0.135960694442477,0.00715582602328828,0.445517950000475,0.188222176524123,0.0099064303433749,0.459222222222222,"semi-arid",19
"10","DELA",0.250078692009891,0.136616953633096,0.00620986152877707,0.28198915833842,0.162536646726787,0.00738802939667216,0.159992347131896,0.14718142942756,0.00669006497398002,0.494577484718275,0.147076745290335,0.00668530660410611,0.443487711250048,0.172163880414357,0.00782563092792532,0.519546070277941,0.173076367330211,0.00786710760591869,0.912809523809524,"humid",22
