"","siteID","plotID","horizonID","horizonName","biogeoTopDepth","biogeoBottomDepth","sandTotal","siltTotal","clayTotal","coarseFrag2To20","cecdNh4","phCacl2","ec12pre","carbonTot","nitrogenTot","sulfurTot","id"
"1","ABBY","ABBY_001","17N04435","Oi",0,9,NA,NA,NA,12.18,58.2,4.9,1.42,372,11.1,1.3,1
"2","ABBY","ABBY_001","17N04436","A",9,23,36.4,32.9,30.7,15.89,26.1,5,0.11,63.3,3.3,0.5,2
"3","ABBY","ABBY_001","17N04437","Bw1",23,44,34.2,35.3,30.5,7.29,18.6,4.9,0.06,28.8,1.9,0.4,3
"4","ABBY","ABBY_001","17N04438","Bw2",44,55,31.6,33.2,35.2,8.38,15.6,4.5,0.03,12.6,1,0.4,4
"5","ABBY","ABBY_001","17N04439","2Bw3",55,100,18.6,29.4,52,1.9,13.4,4.4,0.03,4.9,0.6,0.4,5
"6","ABBY","ABBY_002","17N04440","Oi",0,1,NA,NA,NA,7.7,66.5,4.4,2.49,448,13,1.3,6
"7","ABBY","ABBY_002","17N04441","A1",1,15,33,39.4,27.6,46.14,41.2,4.7,0.3,114.9,4.9,0.6,7
"8","ABBY","ABBY_002","17N04442","A2",15,31,30.6,41.3,28.1,26.44,41.1,4.7,0.19,97.6,4.7,0.5,8
"9","ABBY","ABBY_002","17N04443","Bw1",31,48,28.9,44.2,26.9,13.79,23.9,4.8,0.1,48.3,2.8,0.4,9
"10","ABBY","ABBY_002","17N04444","Bw2",48,67,25.8,40.4,33.8,20.5,16.3,4.5,0.03,13.7,1.3,0.4,10
"11","ABBY","ABBY_002","17N04445","Bw3",67,100,27.6,39.4,33,0,16.4,4.5,0.03,10.6,0.9,0.3,11
"12","ABBY","ABBY_007","17N04446","Oi",0,3,NA,NA,NA,0,82.8,4.3,1.59,484.2,12.7,1.3,12
"13","ABBY","ABBY_007","17N04447","A1",3,26,37.3,40.9,21.8,41.77,33.3,4.8,0.17,84.4,3.5,0.5,13
"14","ABBY","ABBY_007","17N04448","A2",26,53,32.2,42.4,25.4,16.62,24.8,5,0.12,47.9,2.4,0.4,14
"15","ABBY","ABBY_007","17N04449","Bw1",53,69,29.3,33.7,37,9.73,17.1,4.6,0.05,19,1.2,0.4,15
"16","ABBY","ABBY_007","17N04450","Bw2",69,100,29,31.1,39.9,14.7,15.5,4.4,0.03,12.9,1.2,0.4,16
"17","ABBY","ABBY_008","17N04451","Oi",0,3,NA,NA,NA,0,57.2,5,1.89,265.7,11.6,1.2,17
"18","ABBY","ABBY_008","17N04452","A1",3,16,33.4,33.8,32.8,8.4,29.6,4.7,0.34,69.5,4.2,0.5,18
"19","ABBY","ABBY_008","17N04453","A2",16,34,31.9,33.9,34.2,5.71,22.9,4.7,0.15,45.2,2.9,0.5,19
"20","ABBY","ABBY_008","17N04454","AB",34,61,27.9,33.5,38.6,3.23,15.4,4.4,0.04,11.3,1.2,0.3,20
"21","ABBY","ABBY_008","17N04455","Bw",61,100,27.8,30.9,41.3,4.87,17.3,4.2,0.04,4.9,0.8,0.4,21
"22","ABBY","ABBY_009","17N04456","A1",0,7,35,39.3,25.7,35.82,33.7,4.7,0.13,77.8,3.6,0.6,22
"23","ABBY","ABBY_009","17N04457","A2",7,25,35.1,45,19.9,29.55,26.1,4.8,0.07,44.1,2.7,0.2,23
"24","ABBY","ABBY_009","17N04458","AB",25,57,30.4,45,24.6,35.41,22.3,4.8,0.04,20.2,1.6,0.2,24
"25","ABBY","ABBY_009","17N04459","Bw",57,100,30.3,40.7,29,58.09,28.4,4.5,0.03,9,1,0.2,25
"26","ABBY","ABBY_011","17N04460","A",0,20,32.6,36.4,31,13.71,28.3,4.9,0.19,65.1,3.7,0.4,26
"27","ABBY","ABBY_011","17N04461","Bw1",20,38,27,42.1,30.9,7.48,17.9,4.7,0.07,36,2.7,0.5,27
"28","ABBY","ABBY_011","17N04462","Bw2",38,49,22,35.1,42.9,12.14,8.7,4.4,0.05,14.8,1.3,0.5,28
"29","ABBY","ABBY_011","17N04463","2BC",49,100,18.5,47.2,34.3,1.34,12.6,4.2,0.03,2.1,0.8,0.5,29
"30","ABBY","ABBY_016","17N04464","Oi",0,3,NA,NA,NA,7.05,76.6,4.6,2.22,336.3,12.8,1.2,30
"31","ABBY","ABBY_016","17N04465","A",3,17,20.1,39,40.9,2.12,24.9,4.5,0.28,39.4,2.4,0.4,31
"32","ABBY","ABBY_016","17N04466","Bw1",17,46,17.4,39.2,43.4,1.34,18.3,4.5,0.08,27.1,1.7,0.3,32
"33","ABBY","ABBY_016","17N04467","Bw2",46,75,22.4,39,38.6,0.7,19.6,4.6,0.06,26.4,1.8,0.4,33
"34","ABBY","ABBY_016","17N04468","2Cg",75,100,28.4,39.1,32.5,26.33,16.8,4.3,0.05,9.7,1.1,0.1,34
"35","ABBY","ABBY_017","17N04469","Oi",0,7,NA,NA,NA,0,78.4,4,0.99,386.9,10.2,0.9,35
"36","ABBY","ABBY_017","17N04470","A",7,19,39.7,32.7,27.6,11.59,59.7,4.5,0.25,81.6,3.7,0.4,36
"37","ABBY","ABBY_017","17N04471","AB",19,36,31.4,35.8,32.8,7.28,55.9,4.4,0.36,82.3,4.2,0.4,37
"38","ABBY","ABBY_017","17N04472","Bw1",36,62,33.6,34.8,31.6,4.15,41.8,4.4,0.09,29.6,2.1,0.2,38
"39","ABBY","ABBY_017","17N04473","Bw2",62,78,31.6,35.9,32.5,4.33,41.5,4.4,0.06,20.2,1.6,0.4,39
"40","ABBY","ABBY_017","17N04474","Bw3",78,100,32,36,32,5.77,46.5,4.3,0.04,9.7,1.1,0.2,40
"41","ABBY","ABBY_019","17N04475","A",0,9,32.8,36.4,30.8,6.91,27.3,4.9,0.31,70.7,4.4,0.6,41
"42","ABBY","ABBY_019","17N04476","AB",9,25,34,38.6,27.4,6.24,20.8,5,0.12,52.1,3.4,0.4,42
"43","ABBY","ABBY_019","17N04477","Bw1",25,69,26,35.8,38.2,1.11,11.5,4.6,0.03,11,1.2,0.4,43
"44","ABBY","ABBY_019","17N04478","Bw2",69,100,24.6,36.3,39.1,1.82,10.9,4.5,0.02,3.9,0.8,0.4,44
"45","ABBY","ABBY_020","17N04479","Oi",0,3,NA,NA,NA,9.24,64.9,5.3,1.46,354.2,12.9,1.4,45
"46","ABBY","ABBY_020","17N04480","A1",3,18,40.8,37.5,21.7,49.01,34.2,5.1,0.28,80.8,4.4,1.1,46
"47","ABBY","ABBY_020","17N04481","2A2",18,46,37.4,39,23.6,34.69,29.6,5,0.17,59,3.3,0.6,47
"48","ABBY","ABBY_020","17N04482","2Bw1",46,89,35.3,40.5,24.2,26.73,23.2,5,0.05,38.3,1.9,0.4,48
"49","ABBY","ABBY_020","17N04483","2Bw2",89,100,32,35.2,32.8,16.66,19.4,4.7,0.04,10.8,1.2,0.3,49
"50","ABBY","ABBY_021","17N04484","Oi",0,4,NA,NA,NA,16.54,76.4,4.6,1.01,430,15.8,1.8,50
"51","ABBY","ABBY_021","17N04485","A",4,18,43.9,26.3,29.8,65.34,33.1,4.8,0.17,99,5,0.6,51
"52","ABBY","ABBY_021","17N04486","AB",18,35,29.9,41.5,28.6,21.2,20.1,4.9,0.09,52.1,2.8,0.4,52
"53","ABBY","ABBY_021","17N04487","Bw1",35,67,27.4,32.7,39.9,7.03,11.9,4.7,0.03,10.4,1.1,0.4,53
"54","ABBY","ABBY_021","17N04488","Bw2",67,100,29.1,32.7,38.2,15.14,11.2,4.7,0.02,7,0.9,0.4,54
"55","ABBY","ABBY_023","17N04489","A",0,21,26.3,39.9,33.8,6.79,35.6,4.9,0.51,77.4,5.1,0.5,55
"56","ABBY","ABBY_023","17N04490","Bw1",21,46,24,42.7,33.3,3.66,22.9,4.6,0.1,33.3,2.4,0.4,56
"57","ABBY","ABBY_023","17N04491","2Bw2",46,100,28.7,38.9,32.4,2.99,23.2,4.5,0.03,6.1,1,0.4,57
"58","ABBY","ABBY_026","17N04492","A",0,7,22.8,41.9,35.3,6.27,44.2,4.6,0.25,79.8,5.4,0.5,58
"59","ABBY","ABBY_026","17N04493","BA",7,19,22.4,43,34.6,0.39,35.5,4.5,0.13,40.2,3,0.3,59
"60","ABBY","ABBY_026","17N04494","Bw1",19,51,20.3,43.5,36.2,1.82,29.9,4.5,0.07,20.7,2,0.2,60
"61","ABBY","ABBY_026","17N04495","Bw2",51,71,19.4,45.3,35.3,1.81,29.5,4.5,0.05,12,1,0.2,61
"62","ABBY","ABBY_026","17N04496","2C",71,100,31.3,48.9,19.8,0,20.7,4.6,0.04,3.8,1,0.2,62
"63","ABBY","ABBY_028","17N04497","A1",0,14,29.3,41.3,29.4,12.99,33.2,4.7,0.04,69,4.1,0.4,63
"64","ABBY","ABBY_028","17N04498","A2",14,36,25.4,43.4,31.2,7.18,30.7,4.7,0.21,65.9,4.4,0.5,64
"65","ABBY","ABBY_028","17N04499","Bw",36,51,27.3,46.8,25.9,9.32,24.8,4.7,0.08,40.8,3.1,0.5,65
"66","ABBY","ABBY_028","17N04500","2BC",51,85,28.8,41.2,30,41.98,23,4.6,0.05,14.1,1.7,0.6,66
"67","ABBY","ABBY_063","17N04501","Oi",0,2,NA,NA,NA,0,58.3,4.6,1.92,285.4,9.3,0.9,67
"68","ABBY","ABBY_063","17N04502","A",2,20,39.1,34.2,26.7,31.11,30.4,4.9,0.17,78.7,3.8,0.3,68
"69","ABBY","ABBY_063","17N04503","AB",20,48,29.8,45.8,24.4,21.87,24.5,4.6,0.1,55.7,2.9,0.2,69
"70","ABBY","ABBY_063","17N04504","Bw1",48,79,33.8,35.7,30.5,12.44,17.9,4.6,0.05,28.2,1.9,0.2,70
"71","ABBY","ABBY_063","17N04505","Bw2",79,100,31.9,34.8,33.3,7.08,16.2,4.6,0.05,17.3,1,0.2,71
"72","ABBY","ABBY_mp","16_ABBY_PIT1_OI","Oi",0,3,27.2,36.4,36.4,21,36.2,4.7,0.12,137.6,5.9,0.4,72
"73","ABBY","ABBY_mp","16_ABBY_PIT1_A","A",3,19,26.8,35.8,37.4,18.1,37.7,4.7,0.03,127.5,5.8,0.3,73
"74","ABBY","ABBY_mp","16_ABBY_PIT1_AB","AB",19,44,24.8,40.3,34.9,22.3,20.6,4.7,0.03,49.2,3,0.2,74
"75","ABBY","ABBY_mp","16_ABBY_PIT1_BW1","Bw1",44,74,20.1,37.1,42.8,26.4,15,4.6,0.02,21.8,1.4,0.1,75
"76","ABBY","ABBY_mp","16_ABBY_PIT1_2BW2","2Bw2",74,100,15.1,40.9,44,17.2,17.2,4.1,0.18,3.4,0.6,0.1,76
"77","BARR","BARR_001","18N05552","Oi",0,14,NA,NA,NA,0,73.6,NA,1.29,482.9,15.9,1.4,77
"78","BARR","BARR_001","18N05553","Oe",14,23,NA,NA,NA,0,50.6,NA,1.27,502.4,25.3,7.1,78
"79","BARR","BARR_001","18N05554","Cgjj/Oajj",23,56,10.9,56,33.1,0,44.7,4.2,0.94,181.4,9.3,1.4,79
"80","BARR","BARR_001","18N05611","Cjjfg/Oajjf",56,100,20.8,52.2,27,0,28.3,4.6,0.32,98.9,6.3,1.9,81
"81","BARR","BARR_004","18N05556","Oi",0,10,NA,NA,NA,0,85.4,NA,1.05,352.1,14.3,2.6,82
"82","BARR","BARR_004","18N05557","Cg",10,34,46.7,31.4,21.9,0.74,11.8,4.7,0.11,35.9,2.6,0.4,83
"83","BARR","BARR_004","18N05558","Cf",34,52,60.9,26.5,12.6,1.3,24.6,4.5,0.16,67.4,3.6,0.7,84
"84","BARR","BARR_005","18N05559","Oe",0,18,NA,NA,NA,0.33,48.5,4.8,0.82,320.9,19.7,3.4,85
"85","BARR","BARR_005","18N05560","Ajj/Cgjj",18,33,62.8,24.2,13,0,28.5,5.3,0.61,119.8,6.5,1.4,86
"86","BARR","BARR_005","18N05561","Cgjjf/Ajjf1",33,62,77.5,14.8,7.7,0.47,7.1,7.3,0.26,18.6,1.5,0.6,87
"87","BARR","BARR_005","18N05562","Cgjjf/Ajjf2",62,100,79.2,12.6,8.2,1.1,5.2,7.7,0.72,11.9,0.7,0.2,88
