"","X","domainID","siteID","plotID","plotType","nrcsDescriptionID","decimalLatitude","decimalLongitude","elevation","collectDate","soilSamplingMethod","pitDepth","soilSeries","soilFamily","soilSubgroup","soilGreatGroup","soilSuborder","soilOrder","horizonID","horizonName","horizonTopDepth","horizonBottomDepth","remarks.x","bulkDensSampleType","bulkDen","remarks.y","coarseFrag2To5","coarseFrag5To20","sandTotal","siltTotal","clayTotal","carbonateClay","clayFineContent","siltFineContent","siltCoarseContent","sandVeryFineContent","sandFineContent","sandMediumContent","sandCoarseContent","sandVeryCoarseContent","airDryOvenDryRatio","carbonTot","nitrogenTot","sulfurTot","estimatedOC","gypsumConc","caco3Conc","caNh4d","kNh4d","phCacl2","phH2o","ec12pre","mgNh4d","naNh4d","cecdNh4","alSatCecd33","baseSumCecd10","bsesatCecd10","ececCecd33","alKcl","feKcl","mnKcl","bSatx","brSatx","caSatx","clSatx","co3Satx","ecSatp","flSatx","waterSatx","hco3Sx","kSatx","mgSatx","naSatx","no2Satx","no3Satx","pSatx","phSp","so4Satx","remarks","coarseFrag2To20"
"1",2665,"D16","ABBY","ABBY_001","distributed","S2017WA011001",45.772619,-122.346369,302.6,"2017-08-03","soil pit",100,"Cinebar","Medial, mixed, mesic Humic Haploxerands","humic haploxerands","haploxerands","xerands","andisols","17N04435","Oi",0,9,NA,NA,NA,NA,63,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.068,372,11.1,1.3,372,0,NA,24.5,1.7,4.9,6.1,1.42,5,0,58.2,1,31.2,54,31.6,0.4,NA,439.2,NA,0,1.9,0.6,0,0.44,0.5,708.6,1.3,1.3,0.9,0.4,0,0,0.7,5.3,0.2,"The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.",12.18
"2",2664,"D16","ABBY","ABBY_001","distributed","S2017WA011001",45.772619,-122.346369,302.6,"2017-08-03","soil pit",100,"Cinebar","Medial, mixed, mesic Humic Haploxerands","humic haploxerands","haploxerands","xerands","andisols","17N04436","A",9,23,NA,"clod",0.94,NA,72.5,86.4,36.4,32.9,30.7,NA,NA,23.1,9.8,8.4,8.4,9,5.9,4.7,1.035,63.3,3.3,0.5,63,NA,NA,2.9,0.3,5,6.1,0.11,0.7,0,26.1,30,3.9,15,5.6,1.7,NA,51.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89
"3",2668,"D16","ABBY","ABBY_001","distributed","S2017WA011001",45.772619,-122.346369,302.6,"2017-08-03","soil pit",100,"Cinebar","Medial, mixed, mesic Humic Haploxerands","humic haploxerands","haploxerands","xerands","andisols","17N04437","Bw1",23,44,NA,"clod",0.97,NA,44.5,28.4,34.2,35.3,30.5,NA,NA,26.4,8.9,7.7,10.6,8.2,4.5,3.2,1.029,28.8,1.9,0.4,29,NA,NA,0,0.2,4.9,5.8,0.06,0.2,0,18.6,83,0.4,2,2.3,1.9,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29
"4",2666,"D16","ABBY","ABBY_001","distributed","S2017WA011001",45.772619,-122.346369,302.6,"2017-08-03","soil pit",100,"Cinebar","Medial, mixed, mesic Humic Haploxerands","humic haploxerands","haploxerands","xerands","andisols","17N04438","Bw2",44,55,NA,"clod",1.14,NA,37.7,46.1,31.6,33.2,35.2,NA,NA,24.1,9.1,6.6,9.4,8.1,4.5,3,1.027,12.6,1,0.4,13,NA,NA,0,0.1,4.5,5.4,0.03,0.1,0,15.6,96,0.2,1,5.3,5.1,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.38
"5",2667,"D16","ABBY","ABBY_001","distributed","S2017WA011001",45.772619,-122.346369,302.6,"2017-08-03","soil pit",100,"Cinebar","Medial, mixed, mesic Humic Haploxerands","humic haploxerands","haploxerands","xerands","andisols","17N04439","2Bw3",55,100,NA,"clod",1.45,NA,9.3,9.7,18.6,29.4,52,NA,NA,21.9,7.5,4,4.7,3.9,3.4,2.6,1.027,4.9,0.6,0.4,5,NA,NA,0,0.1,4.4,5.5,0.03,0.2,0,13.4,95,0.3,2,5.7,5.4,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9
"6",2599,"D16","ABBY","ABBY_002","distributed","S2017WA011002",45.739055,-122.309112,638.4,"2017-07-17","soil pit",100,"Aschoff","Loamy-skeletal, isotic, mesic Andic Humudepts","andic humudepts","humudepts","udepts","inceptisols","17N04440","Oi",0,1,NA,NA,NA,NA,37.4,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.073,448,13,1.3,448,0,NA,15.5,0.8,4.4,4.7,2.49,2.2,0,66.5,5,18.5,28,19.4,0.9,NA,521.7,NA,0,4.1,0.4,0,0.93,0.1,586,0.3,1,1.5,0.4,0,5.3,0.5,4.5,0.3,"The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.",7.7
"7",2598,"D16","ABBY","ABBY_002","distributed","S2017WA011002",45.739055,-122.309112,638.4,"2017-07-17","soil pit",100,"Aschoff","Loamy-skeletal, isotic, mesic Andic Humudepts","andic humudepts","humudepts","udepts","inceptisols","17N04441","A1",1,15,NA,NA,NA,NA,127.8,333.6,33,39.4,27.6,NA,NA,29.4,10,6.5,7.5,5.3,5.3,8.4,1.047,114.9,4.9,0.6,115,NA,NA,2.7,0.3,4.7,5.5,0.3,0.5,0,41.2,54,3.5,8,7.6,4.1,NA,38.9,NA,0,2.5,0.4,0,0.52,0,111.1,0.2,0.2,1.1,0.4,0,3.8,0,4.9,0,NA,46.14
"8",2601,"D16","ABBY","ABBY_002","distributed","S2017WA011002",45.739055,-122.309112,638.4,"2017-07-17","soil pit",100,"Aschoff","Loamy-skeletal, isotic, mesic Andic Humudepts","andic humudepts","humudepts","udepts","inceptisols","17N04442","A2",15,31,NA,"clod",0.86,NA,105.5,158.9,30.6,41.3,28.1,NA,NA,29.4,11.9,7.9,8.6,5,4.5,4.6,1.047,97.6,4.7,0.5,98,NA,NA,0.3,0.2,4.7,5.3,0.19,0.1,0,41.1,88,0.6,1,5,4.4,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.44
"9",2597,"D16","ABBY","ABBY_002","distributed","S2017WA011002",45.739055,-122.309112,638.4,"2017-07-17","soil pit",100,"Aschoff","Loamy-skeletal, isotic, mesic Andic Humudepts","andic humudepts","humudepts","udepts","inceptisols","17N04443","Bw1",31,48,NA,"clod",0.92,NA,59.9,78,28.9,44.2,26.9,NA,NA,32.7,11.5,6.8,8.8,6.2,3.8,3.3,1.036,48.3,2.8,0.4,48,NA,NA,0,0.2,4.8,5.3,0.1,0,0,23.9,93,0.2,1,3,2.8,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.79
"10",2600,"D16","ABBY","ABBY_002","distributed","S2017WA011002",45.739055,-122.309112,638.4,"2017-07-17","soil pit",100,"Aschoff","Loamy-skeletal, isotic, mesic Andic Humudepts","andic humudepts","humudepts","udepts","inceptisols","17N04444","Bw2",48,67,NA,"clod",1.13,NA,99.7,105.3,25.8,40.4,33.8,NA,NA,28.8,11.6,6.3,7.2,5.3,3.8,3.2,1.027,13.7,1.3,0.4,14,NA,NA,0,0.2,4.5,5.1,0.03,0,0,16.3,95,0.2,1,4.2,4,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5
