"","site","plotID","i.sum.t","i.mean.t","i.sum.f","i.mean.f"
"1","ABBY","ABBY_001",4.467,0.489,67,21.333
"2","ABBY","ABBY_002",4.887,0.629,76,24.333
"3","ABBY","ABBY_007",4.362,0.454,67,21.333
"4","ABBY","ABBY_008",4.487,0.496,69,22
"5","ABBY","ABBY_009",3.917,0.306,61,19.333
"6","ABBY","ABBY_011",3.812,0.271,61,19.333
"7","ABBY","ABBY_016",4.487,0.496,69,22
"8","ABBY","ABBY_017",4.424,0.475,72,23
"9","ABBY","ABBY_019",3.938,0.312,63,20
"10","ABBY","ABBY_020",4.487,0.496,69,22
"11","ABBY","ABBY_021",4.487,0.496,69,22
"12","ABBY","ABBY_023",3.375,0.125,54,17
"13","ABBY","ABBY_026",4.506,0.502,71,22.667
"14","ABBY","ABBY_028",4.496,0.499,69,22
"15","ABBY","ABBY_063",4.487,0.496,69,22
"16","ABBY","ABBY_mp",5.896,0.965,91,29.333
"17","BARR","BARR_001",3.312,0.104,53,16.667
"18","BARR","BARR_004",3.986,0.329,55,17.333
"19","BARR","BARR_005",3.5,0.167,56,17.667
"20","BARR","BARR_008",2,0,32,15
"21","BARR","BARR_011",4.077,0.359,53,16.667
"22","BARR","BARR_012",3.75,0.25,60,19
"23","BARR","BARR_014",3.279,0.093,49,15.333
"24","BARR","BARR_015",3.062,0.021,43,13.333
"25","BARR","BARR_018",3.625,0.208,58,18.333
"26","BARR","BARR_019",3,0,38,11.667
"27","BARR","BARR_021",3.75,0.25,60,19
"28","BARR","BARR_022",3,0,42,13
"29","BARR","BARR_024",4.048,0.349,56,17.667
"30","BARR","BARR_026",2.938,-0.021,47,14.667
"31","BARR","BARR_027",3.062,0.021,49,15.333
"32","BARR","BARR_028",3.832,0.277,53,16.667
"33","BARR","BARR_031",2.938,-0.021,47,14.667
"34","BARR","BARR_037",3,0,42,13
"35","BARR","BARR_084",3.216,0.072,44,13.667
"36","BARR","BARR_085",3.25,0.083,52,16.333
"37","BARR","BARR_mp",5.221,0.74,72,23
